Month,KOSPI,Price_Seoul,Homeloan,Call_rate,M2
Jan-00,952.53,39.45,,4.78,677.00 
Feb-00,976.05,39.78,,5.02,678.40 
Mar-00,915.94,40.11,,5.1,684.70 
Apr-00,870.17,40.24,,5.1,688.90 
May-00,770.24,40.24,,5.12,686.80 
Jun-00,845.81,40.24,,5.12,687.00 
Jul-00,851.47,40.4,,5.14,688.60 
Aug-00,751.14,40.57,,5.14,694.50 
Sep-00,692.19,40.82,,5.13,702.10 
Oct-00,608.85,40.94,,5.33,696.90 
Nov-00,565.18,40.78,,5.35,703.90 
Dec-00,557.84,40.49,,5.37,708.00 
01-Jan,627.45,40.45,,5.32,711.90 
01-Feb,612.3,40.69,,5.15,716.60 
01-Mar,579.28,40.94,,5.05,717.80 
01-Apr,577.36,41.23,,5.03,718.80 
01-May,632.05,41.69,,5.03,723.40 
01-Jun,621.78,42.23,,5.03,730.50 
01-Jul,597.25,42.93,,4.81,742.90 
01-Aug,580.99,44.05,,4.61,750.90 
01-Sep,558.79,44.88,,4.33,761.40 
01-Oct,547.87,44.96,,4.03,764.20 
01-Nov,674.56,45.09,,4.03,766.70 
01-Dec,704.5,45.71,,4.01,767.10 
02-Jan,780.24,47.41,,3.98,772.60 
02-Feb,822.11,48.98,,4.01,779.70 
02-Mar,902.46,50.31,,4.01,797.40 
02-Apr,937.61,50.93,,4.01,806.90 
02-May,875.03,51.39,,4.25,812.80 
02-Jun,823.06,51.68,,4.3,822.10 
02-Jul,801.99,52.71,,4.28,828.00 
02-Aug,745.75,54.08,,4.29,831.50 
02-Sep,751.98,55.86,,4.3,842.50 
02-Oct,678.14,56.07,,4.3,853.10 
02-Nov,724.8,55.94,,4.3,868.80 
02-Dec,736.57,55.99,,4.31,875.40 
03-Jan,666.71,55.57,,4.28,880.30 
03-Feb,616.29,55.78,,4.3,883.60 
03-Mar,590.04,56.15,,4.24,892.50 
03-Apr,624.77,56.9,,4.24,890.40 
03-May,633.42,57.81,,4.06,886.40 
03-Jun,690.49,58.18,,4.01,886.80 
03-Jul,722.33,58.49,,3.82,886.20 
03-Aug,759.47,58.89,,3.74,886.90 
03-Sep,767.46,59.78,,3.74,891.20 
03-Oct,785.94,60.67,,3.74,885.20 
03-Nov,813.11,60.28,,3.77,896.70 
03-Dec,822.16,59.86,,3.77,901.80 
04-Jan,869.04,59.74,,3.78,901.00 
04-Feb,884.8,60.03,,3.75,906.80 
04-Mar,907.43,60.34,,3.75,916.70 
04-Apr,936.06,60.58,,3.75,918.30 
04-May,867.48,60.62,,3.76,921.30 
04-Jun,815.77,60.48,,3.76,927.10 
04-Jul,778.03,60.29,,3.76,931.60 
04-Aug,810.3,59.98,,3.6,936.30 
04-Sep,857.15,59.78,,3.52,946.30 
04-Oct,887.45,59.53,,3.52,946.80 
04-Nov,885.42,59.28,,3.34,948.80 
04-Dec,895.92,59.02,,3.27,954.70 
05-Jan,903.35,58.85,,3.26,958.10 
05-Feb,964.48,59.21,,3.26,965.20 
05-Mar,988.23,59.42,,3.24,977.40 
05-Apr,955.41,59.83,,3.25,982.10 
05-May,938.98,60.2,,3.29,985.50 
05-Jun,991.34,61.04,,3.27,995.90 
05-Jul,1058.71,61.88,,3.24,1005.00 
05-Aug,1101.84,62.14,,3.24,1008.80 
05-Sep,1171.02,62.38,,3.24,1008.20 
05-Oct,1190.86,62.38,,3.45,1008.20 
05-Nov,1253.26,62.5,,3.49,1011.60 
05-Dec,1338.81,62.76,,3.7,1021.60 
06-Jan,1379.32,63.15,,3.74,1027.70 
06-Feb,1341.72,63.64,,3.92,1034.70 
06-Mar,1331.72,64.4,,3.97,1042.30 
06-Apr,1415.92,65.4,,3.97,1048.60 
06-May,1388.83,66.35,,3.96,1055.90 
06-Jun,1249.19,66.82,,4.17,1072.90 
06-Jul,1278,67.05,,4.21,1082.60 
06-Aug,1316.08,67.3,,4.42,1084.80 
06-Sep,1356.53,67.82,,4.47,1098.40 
06-Oct,1354.04,69.14,,4.48,1110.40 
06-Nov,1403.93,72.45,,4.47,1123.70 
06-Dec,1418.83,74.6,,4.5,1138.30 
07-Jan,1379.25,75.73,,4.63,1143.80 
07-Feb,1434.89,76.05,,4.6,1154.10 
07-Mar,1431.62,76.32,,4.6,1162.40 
07-Apr,1517.12,76.49,,4.69,1165.30 
07-May,1614.94,76.55,,4.61,1171.10 
07-Jun,1754.28,76.76,,4.54,1190.10 
07-Jul,1911.56,77.15,,4.67,1200.90 
07-Aug,1815.02,77.38,,4.92,1208.10 
07-Sep,1879.03,77.71,,4.98,1219.30 
07-Oct,2004.55,78.02,,5,1229.70 
07-Nov,1924.84,78.39,,5,1250.80 
07-Dec,1903.99,78.64,107469.2,4.99,1269.50 
08-Jan,1732.29,79.19,107433.5,4.99,1286.40 
08-Feb,1689.53,79.72,106294.4,4.97,1309.20 
08-Mar,1651.15,80.87,106393.8,4.97,1324.00 
08-Apr,1776.58,82.2,107235.2,4.99,1339.40 
08-May,1846.75,82.9,107892.2,4.97,1356.60 
08-Jun,1758.17,83.48,108322.4,4.95,1369.70 
08-Jul,1569.6,83.8,109336.9,4.98,1378.90 
08-Aug,1537.55,83.97,109710.9,5.22,1386.10 
08-Sep,1446.56,84.14,110055.4,5.22,1395.70 
08-Oct,1201.7,84.04,110207.2,4.88,1404.00 
08-Nov,1073.95,83.61,110702.3,4,1426.20 
08-Dec,1114.9,82.6,111182.1,3.27,1436.30 
09-Jan,1156.37,82.04,112031.2,2.43,1440.30 
09-Feb,1139.75,81.94,112388.7,2.06,1457.90 
09-Mar,1140.45,81.78,113018.5,1.77,1470.40 
09-Apr,1322.1,81.99,113246.2,1.8,1482.00 
