Month	KOSPI	Price_Seoul	Homeloan	Call_rate	M2	Export	Sentiment
07-Dec	1903.99 	78.64 	107469.20 	4.99 	1269.50 	15.40 	59.52 
08-Jan	1732.29 	79.19 	107433.50 	4.99 	1286.40 	13.50 	74.43 
08-Feb	1689.53 	79.72 	106294.40 	4.97 	1309.20 	15.60 	80.63 
08-Mar	1651.15 	80.87 	106393.80 	4.97 	1324.00 	15.70 	96.05 
08-Apr	1776.58 	82.20 	107235.20 	4.99 	1339.40 	16.50 	95.65 
08-May	1846.75 	82.90 	107892.20 	4.97 	1356.60 	17.50 	87.67 
08-Jun	1758.17 	83.48 	108322.40 	4.95 	1369.70 	16.90 	76.51 
08-Jul	1569.60 	83.80 	109336.90 	4.98 	1378.90 	16.40 	61.83 
08-Aug	1537.55 	83.97 	109710.90 	5.22 	1386.10 	16.30 	54.02 
08-Sep	1446.56 	84.14 	110055.40 	5.22 	1395.70 	16.60 	44.33 
08-Oct	1201.70 	84.04 	110207.20 	4.88 	1404.00 	15.50 	26.41 
08-Nov	1073.95 	83.61 	110702.30 	4.00 	1426.20 	12.80 	23.51 
08-Dec	1114.90 	82.60 	111182.10 	3.27 	1436.30 	11.30 	18.09 
09-Jan	1156.37 	82.04 	112031.20 	2.43 	1440.30 	9.90 	23.62 
09-Feb	1139.75 	81.94 	112388.70 	2.06 	1457.90 	11.50 	31.91 
09-Mar	1140.45 	81.78 	113018.50 	1.77 	1470.40 	11.70 	28.00 
09-Apr	1322.10 	81.99 	113246.20 	1.80 	1482.00 	12.70 	45.59 
09-May	1400.50 	82.07 	114235.40 	1.91 	1491.50 	12.60 	43.67 
09-Jun	1395.24 	82.38 	115443.30 	1.93 	1501.90 	13.70 	50.80 
09-Jul	1460.03 	82.92 	116903.60 	1.93 	1512.80 	12.80 	63.03 
09-Aug	1577.91 	83.36 	117591.70 	1.98 	1524.90 	12.60 	68.29 
09-Sep	1659.45 	84.30 	116951.90 	1.99 	1535.30 	14.10 	67.76 
09-Oct	1630.61 	84.70 	117460.40 	1.99 	1551.30 	14.80 	48.46 
09-Nov	1583.47 	84.77 	117896.00 	2.00 	1564.20 	14.80 	36.33 
09-Dec	1646.64 	84.79 	118429.80 	2.00 	1570.00 	15.00 	30.24 
10-Jan	1682.16 	84.88 	118215.30 	2.00 	1574.20 	13.70 	38.90 
10-Feb	1598.96 	85.08 	118481.40 	2.00 	1595.40 	16.20 	38.51 
10-Mar	1665.50 	85.15 	119222.80 	2.01 	1607.90 	15.60 	28.88 
10-Apr	1730.29 	85.10 	119864.20 	2.00 	1621.20 	16.40 	20.49 
10-May	1648.30 	84.92 	120493.60 	2.01 	1630.90 	18.10 	18.46 
10-Jun	1691.94 	84.63 	121130.50 	2.00 	1648.00 	18.30 	15.87 
10-Jul	1731.12 	84.34 	122113.40 	2.21 	1653.10 	16.50 	16.30 
10-Aug	1762.18 	84.04 	121812.70 	2.27 	1653.90 	15.20 	16.57 
10-Sep	1815.75 	83.89 	122165.40 	2.27 	1659.40 	18.80 	18.19 
10-Oct	1889.70 	83.79 	122853.20 	2.26 	1669.40 	18.40 	16.31 
10-Nov	1924.71 	83.75 	123508.10 	2.37 	1679.90 	17.20 	24.25 
10-Dec	2002.50 	83.79 	124107.30 	2.50 	1682.90 	18.00 	27.90 
